Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
62,12,Pretty Happy,2,2000
32,16,NA,2,2000
25,8,Pretty Happy,2,2000
25,12,Not Too Happy,2,2000
38,13,Not Too Happy,2,2000
31,11,Pretty Happy,2,2000
25,7,Pretty Happy,2,2000
25,9,Very Happy,2,2000
24,9,Pretty Happy,2,2000
53,14,Pretty Happy,2,2000
61,12,Not Too Happy,2,2000
33,12,Pretty Happy,2,2000
48,16,Pretty Happy,2,2000
28,12,Very Happy,2,2000
46,14,NA,2,2000
NA,11,Very Happy,2,2000
38,12,Very Happy,2,2000
31,13,Very Happy,2,2000
53,12,Very Happy,2,2000
61,16,Pretty Happy,2,2000
56,12,Pretty Happy,2,2000
24,12,Very Happy,2,2000
25,10,Pretty Happy,2,2000
72,14,Very Happy,2,2000
64,16,Very Happy,2,2000
65,16,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
35,14,Very Happy,2,2000
60,16,Very Happy,2,2000
47,12,Pretty Happy,2,2000
61,19,Pretty Happy,2,2000
63,NA,Pretty Happy,2,2000
31,16,Pretty Happy,2,2000
47,13,NA,2,2000
NA,11,Pretty Happy,2,2000
NA,13,Pretty Happy,2,2000
NA,11,Very Happy,2,2000
NA,11,NA,2,2000
48,15,Very Happy,2,2000
38,12,Pretty Happy,2,2000
NA,11,Pretty Happy,2,2000
35,16,Very Happy,2,2000
39,16,Pretty Happy,2,2000
51,14,Pretty Happy,2,2000
47,13,Pretty Happy,2,2000
46,17,Pretty Happy,2,2000
60,12,Very Happy,2,2000
39,19,Pretty Happy,2,2000
38,12,Not Too Happy,2,2000
36,12,Pretty Happy,2,2000
64,18,NA,2,2000
46,15,Very Happy,2,2000
31,13,Not Too Happy,2,2000
36,14,Very Happy,2,2000
31,12,Pretty Happy,2,2000
59,18,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
61,14,Pretty Happy,2,2000
33,13,Pretty Happy,2,2000
37,10,Pretty Happy,2,2000
39,18,Very Happy,2,2000
38,13,Pretty Happy,2,2000
64,18,Very Happy,2,2000
38,14,Not Too Happy,2,2000
47,12,Not Too Happy,2,2000
28,14,Pretty Happy,2,2000
31,16,Very Happy,2,2000
46,14,Pretty Happy,2,2000
61,17,Pretty Happy,2,2000
61,14,Very Happy,2,2000
48,14,Pretty Happy,2,2000
53,16,Pretty Happy,2,2000
47,12,Very Happy,2,2000
47,12,Pretty Happy,2,2000
NA,11,Not Too Happy,2,2000
74,16,Very Happy,2,2000
32,13,Pretty Happy,2,2000
NA,12,Very Happy,2,2000
37,12,Pretty Happy,2,2000
35,11,Very Happy,2,2000
53,14,Not Too Happy,2,2000
35,8,Not Too Happy,2,2000
44,11,Not Too Happy,2,2000
NA,12,Pretty Happy,2,2000
25,11,Not Too Happy,2,2000
33,10,NA,2,2000
NA,12,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
47,12,Not Too Happy,2,2000
65,16,Pretty Happy,2,2000
17,14,Very Happy,2,2000
32,14,Not Too Happy,2,2000
31,11,Not Too Happy,2,2000
35,14,Pretty Happy,2,2000
17,12,Pretty Happy,2,2000
24,12,Pretty Happy,2,2000
NA,12,Not Too Happy,2,2000
28,8,Very Happy,2,2000
32,16,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
48,16,Very Happy,2,2000
38,18,Very Happy,2,2000
58,18,Pretty Happy,2,2000
35,16,Very Happy,2,2000
65,16,Very Happy,2,2000
45,16,Very Happy,2,2000
57,16,Pretty Happy,2,2000
55,14,Pretty Happy,2,2000
56,20,Very Happy,2,2000
46,16,Pretty Happy,2,2000
61,16,Very Happy,2,2000
47,12,Pretty Happy,2,2000
64,16,Very Happy,2,2000
44,14,Very Happy,2,2000
39,10,Pretty Happy,2,2000
47,12,Very Happy,2,2000
31,12,Not Too Happy,2,2000
41,13,Pretty Happy,2,2000
44,12,Pretty Happy,2,2000
31,12,Very Happy,2,2000
34,13,Pretty Happy,2,2000
64,18,Pretty Happy,2,2000
60,14,Very Happy,2,2000
64,7,Pretty Happy,2,2000
53,16,Pretty Happy,2,2000
54,16,Pretty Happy,2,2000
51,15,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
41,16,Pretty Happy,2,2000
36,16,Very Happy,2,2000
47,14,Pretty Happy,2,2000
53,16,Pretty Happy,2,2000
31,12,Very Happy,2,2000
47,15,Very Happy,2,2000
38,12,Pretty Happy,2,2000
64,15,Very Happy,2,2000
38,17,Very Happy,2,2000
40,14,Pretty Happy,2,2000
71,3,Pretty Happy,2,2000
39,14,Pretty Happy,2,2000
28,12,Not Too Happy,2,2000
51,18,Very Happy,2,2000
38,12,Very Happy,2,2000
47,12,Pretty Happy,2,2000
63,13,Pretty Happy,2,2000
46,12,Pretty Happy,2,2000
21,16,Not Too Happy,2,2000
41,17,Pretty Happy,2,2000
48,18,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
64,19,Not Too Happy,2,2000
46,12,Very Happy,2,2000
48,17,Pretty Happy,2,2000
64,17,Very Happy,2,2000
31,14,Very Happy,2,2000
47,16,Pretty Happy,2,2000
33,13,Not Too Happy,2,2000
39,14,Pretty Happy,2,2000
52,16,Not Too Happy,2,2000
53,15,Pretty Happy,2,2000
59,14,Pretty Happy,2,2000
47,14,Very Happy,2,2000
49,15,Pretty Happy,2,2000
28,13,Very Happy,2,2000
31,15,NA,2,2000
39,17,Very Happy,2,2000
47,13,Pretty Happy,2,2000
53,15,Very Happy,2,2000
47,12,Not Too Happy,2,2000
31,10,Not Too Happy,2,2000
40,11,NA,2,2000
52,12,Pretty Happy,2,2000
38,14,Pretty Happy,2,2000
61,17,NA,2,2000
25,13,Pretty Happy,2,2000
35,11,NA,2,2000
25,6,Pretty Happy,2,2000
22,6,Very Happy,2,2000
38,12,Pretty Happy,2,2000
50,12,Very Happy,2,2000
51,13,Pretty Happy,2,2000
39,14,Very Happy,2,2000
33,12,Very Happy,2,2000
31,12,Pretty Happy,2,2000
NA,14,Pretty Happy,2,2000
31,13,Not Too Happy,2,2000
49,13,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
51,12,Pretty Happy,2,2000
NA,9,Pretty Happy,2,2000
48,16,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
52,17,Pretty Happy,2,2000
17,13,Not Too Happy,2,2000
59,16,Very Happy,2,2000
44,15,Very Happy,2,2000
49,13,Pretty Happy,2,2000
NA,12,Very Happy,2,2000
28,10,Pretty Happy,2,2000
40,12,Pretty Happy,2,2000
48,14,Very Happy,2,2000
53,18,Pretty Happy,2,2000
64,20,Not Too Happy,2,2000
53,18,Very Happy,2,2000
58,16,Pretty Happy,2,2000
74,18,Very Happy,2,2000
48,12,Pretty Happy,2,2000
48,12,Very Happy,2,2000
32,9,Not Too Happy,2,2000
48,9,Very Happy,2,2000
34,13,Pretty Happy,2,2000
40,18,Very Happy,2,2000
48,12,Pretty Happy,2,2000
48,12,Not Too Happy,2,2000
38,12,Pretty Happy,2,2000
NA,9,Pretty Happy,2,2000
53,14,Pretty Happy,2,2000
53,14,Not Too Happy,2,2000
35,9,NA,2,2000
47,12,Pretty Happy,2,2000
18,12,Pretty Happy,2,2000
32,8,Not Too Happy,2,2000
50,12,Very Happy,2,2000
21,11,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
55,16,Pretty Happy,2,2000
NA,8,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
38,11,Pretty Happy,2,2000
39,20,Pretty Happy,2,2000
35,16,Very Happy,2,2000
35,12,Very Happy,2,2000
NA,14,Very Happy,2,2000
49,14,Very Happy,2,2000
47,10,Pretty Happy,2,2000
48,14,Pretty Happy,2,2000
74,19,Pretty Happy,2,2000
32,12,Pretty Happy,2,2000
NA,12,Not Too Happy,2,2000
NA,11,Pretty Happy,2,2000
47,13,Very Happy,2,2000
NA,8,Pretty Happy,2,2000
21,15,Not Too Happy,2,2000
25,12,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
60,14,Pretty Happy,2,2000
NA,14,Not Too Happy,2,2000
48,10,Pretty Happy,2,2000
48,14,Very Happy,2,2000
23,12,Pretty Happy,2,2000
64,18,Pretty Happy,2,2000
51,14,Pretty Happy,2,2000
48,12,Very Happy,2,2000
40,14,Pretty Happy,2,2000
39,17,Pretty Happy,2,2000
46,14,Very Happy,2,2000
25,8,Pretty Happy,2,2000
53,13,Very Happy,2,2000
35,9,Very Happy,2,2000
33,13,Very Happy,2,2000
47,14,Very Happy,2,2000
35,12,Pretty Happy,2,2000
45,12,Not Too Happy,2,2000
35,10,Pretty Happy,2,2000
NA,13,Pretty Happy,2,2000
48,14,Very Happy,2,2000
47,12,Pretty Happy,2,2000
50,12,Pretty Happy,2,2000
47,13,Very Happy,2,2000
32,14,Pretty Happy,2,2000
39,12,Very Happy,2,2000
47,14,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
46,14,Very Happy,2,2000
48,13,Very Happy,2,2000
48,12,Very Happy,2,2000
46,14,Pretty Happy,2,2000
NA,11,Not Too Happy,2,2000
74,17,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
61,20,Not Too Happy,2,2000
23,16,Not Too Happy,2,2000
35,17,Pretty Happy,2,2000
35,12,Very Happy,2,2000
39,14,Pretty Happy,2,2000
31,11,Pretty Happy,2,2000
28,9,Pretty Happy,2,2000
38,14,Not Too Happy,2,2000
64,20,Pretty Happy,2,2000
57,13,Pretty Happy,2,2000
53,14,Very Happy,2,2000
32,7,Not Too Happy,2,2000
48,12,Pretty Happy,2,2000
38,16,Pretty Happy,2,2000
35,13,NA,2,2000
32,13,Very Happy,2,2000
46,15,Pretty Happy,2,2000
43,16,Very Happy,2,2000
31,12,Pretty Happy,2,2000
69,12,NA,2,2000
51,13,Pretty Happy,2,2000
31,11,Pretty Happy,2,2000
32,11,Very Happy,2,2000
25,10,Pretty Happy,2,2000
37,12,Pretty Happy,2,2000
45,11,Pretty Happy,2,2000
49,14,Very Happy,2,2000
74,17,Pretty Happy,2,2000
37,12,Pretty Happy,2,2000
64,14,Very Happy,2,2000
21,12,Very Happy,2,2000
48,12,Pretty Happy,2,2000
61,18,Very Happy,2,2000
45,13,Very Happy,2,2000
17,16,Pretty Happy,2,2000
28,11,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
35,11,Pretty Happy,2,2000
37,10,NA,2,2000
35,11,Not Too Happy,2,2000
25,13,NA,2,2000
61,16,Very Happy,2,2000
61,18,Very Happy,2,2000
65,16,Pretty Happy,2,2000
46,15,Pretty Happy,2,2000
64,14,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
45,14,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
62,18,Very Happy,2,2000
NA,9,Not Too Happy,2,2000
NA,12,Not Too Happy,2,2000
31,13,Pretty Happy,2,2000
48,11,Not Too Happy,2,2000
31,11,Not Too Happy,2,2000
55,17,Pretty Happy,2,2000
25,8,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
25,9,Pretty Happy,2,2000
35,12,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
49,12,Very Happy,2,2000
56,14,Very Happy,2,2000
31,12,Very Happy,2,2000
58,14,Pretty Happy,2,2000
17,16,Pretty Happy,2,2000
61,15,Not Too Happy,2,2000
26,12,Pretty Happy,2,2000
64,16,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
24,11,Very Happy,2,2000
66,14,Very Happy,2,2000
63,12,Pretty Happy,2,2000
45,12,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
50,16,Pretty Happy,2,2000
21,12,Very Happy,2,2000
NA,12,Very Happy,2,2000
69,12,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
48,14,Pretty Happy,2,2000
48,12,Very Happy,2,2000
45,16,Pretty Happy,2,2000
31,15,Pretty Happy,2,2000
31,14,Pretty Happy,2,2000
31,12,Very Happy,2,2000
61,13,Very Happy,2,2000
NA,12,Very Happy,2,2000
24,12,Pretty Happy,2,2000
35,16,Very Happy,2,2000
48,12,Pretty Happy,2,2000
48,8,Very Happy,2,2000
34,16,Very Happy,2,2000
NA,12,Pretty Happy,2,2000
53,18,Very Happy,2,2000
74,18,Very Happy,2,2000
24,8,Pretty Happy,2,2000
NA,13,Pretty Happy,2,2000
55,12,Pretty Happy,2,2000
64,12,Pretty Happy,2,2000
45,12,Pretty Happy,2,2000
25,8,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
29,12,Pretty Happy,2,2000
31,9,Pretty Happy,2,2000
18,12,Not Too Happy,2,2000
22,12,Pretty Happy,2,2000
32,16,Very Happy,2,2000
35,12,Pretty Happy,2,2000
28,13,Very Happy,2,2000
44,13,Very Happy,2,2000
28,12,Very Happy,2,2000
28,11,Very Happy,2,2000
47,12,Pretty Happy,2,2000
28,14,Not Too Happy,2,2000
64,16,Very Happy,2,2000
31,13,Pretty Happy,2,2000
45,14,Very Happy,2,2000
50,14,Not Too Happy,2,2000
38,11,Pretty Happy,2,2000
63,16,Very Happy,2,2000
47,13,Very Happy,2,2000
39,13,Very Happy,2,2000
64,15,Pretty Happy,2,2000
NA,16,Not Too Happy,2,2000
59,16,Pretty Happy,2,2000
60,16,Pretty Happy,2,2000
51,16,Very Happy,2,2000
31,13,Very Happy,2,2000
25,14,Pretty Happy,2,2000
53,12,Pretty Happy,2,2000
64,14,Very Happy,2,2000
32,13,Pretty Happy,2,2000
60,15,Very Happy,2,2000
28,10,Pretty Happy,2,2000
26,12,Pretty Happy,2,2000
NA,NA,Very Happy,2,2000
32,12,Pretty Happy,2,2000
61,18,Pretty Happy,2,2000
61,16,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
28,10,Very Happy,2,2000
44,12,Pretty Happy,2,2000
47,13,Not Too Happy,2,2000
NA,14,Very Happy,2,2000
35,11,Very Happy,2,2000
25,12,Very Happy,2,2000
41,9,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
69,14,Very Happy,2,2000
NA,18,Pretty Happy,2,2000
32,12,Very Happy,2,2000
51,16,Very Happy,2,2000
63,14,Pretty Happy,2,2000
61,18,Pretty Happy,2,2000
50,16,Very Happy,2,2000
28,12,Pretty Happy,2,2000
61,16,Pretty Happy,2,2000
33,2,NA,2,2000
18,8,Pretty Happy,2,2000
31,7,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
51,NA,Very Happy,2,2000
25,9,Not Too Happy,2,2000
30,14,Very Happy,2,2000
27,8,Pretty Happy,2,2000
74,15,Pretty Happy,2,2000
33,9,Very Happy,2,2000
26,11,Pretty Happy,2,2000
32,13,Pretty Happy,2,2000
36,6,Not Too Happy,2,2000
50,12,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
31,11,Pretty Happy,2,2000
31,12,Very Happy,2,2000
32,12,Pretty Happy,2,2000
59,14,Very Happy,2,2000
61,18,Very Happy,2,2000
35,8,Very Happy,2,2000
24,18,Pretty Happy,2,2000
17,19,Very Happy,2,2000
48,14,Pretty Happy,2,2000
38,9,Very Happy,2,2000
61,17,Not Too Happy,2,2000
37,16,Very Happy,2,2000
48,9,Pretty Happy,2,2000
39,18,Very Happy,2,2000
NA,18,Very Happy,2,2000
49,17,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
64,16,Pretty Happy,2,2000
48,8,Pretty Happy,2,2000
27,12,Pretty Happy,2,2000
55,16,Very Happy,2,2000
60,16,Very Happy,2,2000
58,16,Pretty Happy,2,2000
57,18,Very Happy,2,2000
35,11,Pretty Happy,2,2000
48,12,Pretty Happy,2,2000
40,15,Pretty Happy,2,2000
45,12,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
38,16,Pretty Happy,2,2000
61,18,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
35,10,Pretty Happy,2,2000
35,12,Very Happy,2,2000
55,14,Very Happy,2,2000
60,15,Pretty Happy,2,2000
31,17,Pretty Happy,2,2000
27,12,Pretty Happy,2,2000
22,12,Pretty Happy,2,2000
47,16,Very Happy,2,2000
29,12,Pretty Happy,2,2000
NA,13,Very Happy,2,2000
22,12,Not Too Happy,2,2000
31,12,Very Happy,2,2000
64,15,Pretty Happy,2,2000
36,12,Pretty Happy,2,2000
24,12,Pretty Happy,2,2000
53,14,Pretty Happy,2,2000
24,11,Very Happy,2,2000
47,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
54,18,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
31,11,Pretty Happy,2,2000
61,18,Pretty Happy,2,2000
34,12,Not Too Happy,2,2000
25,12,Pretty Happy,2,2000
NA,12,Very Happy,2,2000
27,11,Very Happy,2,2000
35,13,Very Happy,2,2000
25,12,Very Happy,2,2000
48,12,Pretty Happy,2,2000
NA,11,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
36,12,Very Happy,2,2000
34,16,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
36,14,Very Happy,2,2000
64,14,Pretty Happy,2,2000
72,12,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
60,13,Very Happy,2,2000
38,11,Pretty Happy,2,2000
17,12,Very Happy,2,2000
28,9,Not Too Happy,2,2000
74,11,Very Happy,2,2000
61,17,Very Happy,2,2000
61,16,Pretty Happy,2,2000
39,16,Pretty Happy,2,2000
43,16,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
43,16,Pretty Happy,2,2000
37,12,Very Happy,2,2000
55,15,Pretty Happy,2,2000
35,12,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
46,16,Very Happy,2,2000
52,14,Pretty Happy,2,2000
45,12,Pretty Happy,2,2000
64,15,Very Happy,2,2000
38,12,Pretty Happy,2,2000
22,17,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
43,15,Very Happy,2,2000
47,16,Very Happy,2,2000
31,10,Very Happy,2,2000
35,12,Pretty Happy,2,2000
69,12,Pretty Happy,2,2000
NA,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
48,15,Pretty Happy,2,2000
46,10,Very Happy,2,2000
64,15,Very Happy,2,2000
37,12,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
22,12,Pretty Happy,2,2000
41,12,Pretty Happy,2,2000
32,8,Not Too Happy,2,2000
26,14,Pretty Happy,2,2000
33,8,Not Too Happy,2,2000
39,16,Very Happy,2,2000
45,14,Pretty Happy,2,2000
41,13,Pretty Happy,2,2000
47,12,Very Happy,2,2000
50,14,Pretty Happy,2,2000
28,15,Pretty Happy,2,2000
16,13,Very Happy,2,2000
47,13,Pretty Happy,2,2000
32,11,Not Too Happy,2,2000
NA,14,Very Happy,2,2000
74,16,Very Happy,2,2000
38,14,Pretty Happy,2,2000
61,16,Not Too Happy,2,2000
64,15,Pretty Happy,2,2000
22,12,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
50,12,Pretty Happy,2,2000
39,14,Very Happy,2,2000
NA,12,Not Too Happy,2,2000
38,14,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
53,11,Very Happy,2,2000
47,14,Pretty Happy,2,2000
25,9,Not Too Happy,2,2000
62,13,Pretty Happy,2,2000
25,11,Pretty Happy,2,2000
33,11,Pretty Happy,2,2000
39,12,Pretty Happy,2,2000
22,11,Pretty Happy,2,2000
38,20,Very Happy,2,2000
61,16,Very Happy,2,2000
54,16,Pretty Happy,2,2000
47,12,Not Too Happy,2,2000
61,14,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
39,14,Pretty Happy,2,2000
44,14,Very Happy,2,2000
31,12,Pretty Happy,2,2000
17,14,Pretty Happy,2,2000
48,12,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
49,8,Pretty Happy,2,2000
59,13,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
38,12,Very Happy,2,2000
28,13,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
21,13,Very Happy,2,2000
28,14,Not Too Happy,2,2000
53,12,Pretty Happy,2,2000
24,12,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
39,16,Pretty Happy,2,2000
37,13,Pretty Happy,2,2000
21,11,Pretty Happy,2,2000
40,14,Very Happy,2,2000
48,12,Pretty Happy,2,2000
NA,8,Very Happy,2,2000
42,12,Pretty Happy,2,2000
36,13,Very Happy,2,2000
48,16,Very Happy,2,2000
24,NA,Pretty Happy,2,2000
47,16,Not Too Happy,2,2000
51,12,Pretty Happy,2,2000
55,2,Not Too Happy,2,2000
50,6,Pretty Happy,2,2000
67,16,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
25,10,Very Happy,2,2000
34,13,Pretty Happy,2,2000
NA,8,Pretty Happy,2,2000
39,12,Pretty Happy,2,2000
48,16,Pretty Happy,2,2000
60,20,NA,2,2000
35,12,Pretty Happy,2,2000
54,20,Very Happy,2,2000
48,20,Very Happy,2,2000
54,18,Very Happy,2,2000
64,16,Pretty Happy,2,2000
30,13,Very Happy,2,2000
64,18,Not Too Happy,2,2000
NA,12,Very Happy,2,2000
38,15,Very Happy,2,2000
22,12,Pretty Happy,2,2000
60,12,Very Happy,2,2000
49,17,Not Too Happy,2,2000
49,16,Pretty Happy,2,2000
22,12,Not Too Happy,2,2000
25,9,Pretty Happy,2,2000
47,12,Very Happy,2,2000
NA,14,Pretty Happy,2,2000
38,14,Very Happy,2,2000
NA,11,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
33,14,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
35,10,Pretty Happy,2,2000
50,4,Pretty Happy,2,2000
47,14,Pretty Happy,2,2000
36,12,Very Happy,2,2000
53,12,Very Happy,2,2000
69,15,Not Too Happy,2,2000
25,9,Very Happy,2,2000
47,13,Pretty Happy,2,2000
51,12,Pretty Happy,2,2000
25,12,Not Too Happy,2,2000
47,13,Very Happy,2,2000
25,7,Not Too Happy,2,2000
64,16,Pretty Happy,2,2000
38,14,Not Too Happy,2,2000
48,12,Pretty Happy,2,2000
31,12,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
54,19,Pretty Happy,2,2000
45,13,Pretty Happy,2,2000
46,12,Pretty Happy,2,2000
31,12,Pretty Happy,2,2000
45,13,Not Too Happy,2,2000
47,13,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
49,8,Very Happy,2,2000
60,16,Very Happy,2,2000
47,16,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
46,16,Pretty Happy,2,2000
55,18,Pretty Happy,2,2000
33,15,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
48,6,Very Happy,2,2000
32,13,Pretty Happy,2,2000
45,16,Very Happy,2,2000
45,11,Pretty Happy,2,2000
64,14,Pretty Happy,2,2000
28,12,Pretty Happy,2,2000
38,16,Pretty Happy,2,2000
51,20,Pretty Happy,2,2000
38,12,Not Too Happy,2,2000
35,12,Pretty Happy,2,2000
25,8,Pretty Happy,2,2000
48,14,Pretty Happy,2,2000
26,10,Pretty Happy,2,2000
59,15,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
33,9,Not Too Happy,2,2000
NA,10,Pretty Happy,2,2000
33,8,Very Happy,2,2000
28,14,Very Happy,2,2000
25,12,Not Too Happy,2,2000
25,10,Pretty Happy,2,2000
25,13,Pretty Happy,2,2000
25,12,Pretty Happy,2,2000
46,14,Pretty Happy,2,2000
40,12,Pretty Happy,2,2000
51,16,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
28,15,Pretty Happy,2,2000
26,12,Not Too Happy,2,2000
40,14,Very Happy,2,2000
53,16,Very Happy,2,2000
64,18,Pretty Happy,2,2000
47,12,Very Happy,2,2000
33,13,Very Happy,2,2000
29,12,Not Too Happy,2,2000
61,17,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
51,13,Very Happy,2,2000
31,12,Very Happy,2,2000
30,12,Not Too Happy,2,2000
48,13,Very Happy,2,2000
NA,12,Pretty Happy,2,2000
49,12,Very Happy,2,2000
47,10,Very Happy,2,2000
61,16,Pretty Happy,2,2000
41,12,Very Happy,2,2000
47,13,Very Happy,2,2000
36,14,Very Happy,2,2000
33,12,Pretty Happy,2,2000
35,14,Very Happy,2,2000
64,15,Very Happy,2,2000
38,15,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
35,12,Pretty Happy,2,2000
45,16,Very Happy,2,2000
48,17,Pretty Happy,2,2000
45,13,Very Happy,2,2000
31,12,Pretty Happy,2,2000
41,20,NA,2,2000
38,18,Pretty Happy,2,2000
25,11,Pretty Happy,2,2000
46,12,Not Too Happy,2,2000
53,17,Not Too Happy,2,2000
31,12,Pretty Happy,2,2000
31,12,Very Happy,2,2000
45,14,Pretty Happy,2,2000
21,12,Pretty Happy,2,2000
60,16,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
55,12,Pretty Happy,2,2000
35,8,Very Happy,2,2000
NA,10,Pretty Happy,2,2000
NA,10,Pretty Happy,2,2000
25,9,Not Too Happy,2,2000
28,12,Pretty Happy,2,2000
38,12,Very Happy,2,2000
50,12,Pretty Happy,2,2000
53,12,Pretty Happy,2,2000
40,12,Pretty Happy,2,2000
47,16,Pretty Happy,2,2000
54,18,Very Happy,2,2000
40,16,Pretty Happy,2,2000
